Name_submitted,Name_matched,Author_matched,Overall_score,Taxonomic_status,Accepted_name,Accepted_author,Accepted_family,Source,Warnings,Accepted_name_lsid
Aster sagittifolius drummondii,Aster sagittifolius var. drummondii,,0.96,Synonym,Symphyotrichum drummondii,(Lindl.) G.L.Nesom,Asteraceae,gcc, ,urn:lsid:compositae.org:names:7E92236A-AF44-4120-8AEE-A4E040BA893F
Aster shortii,Aster shortii,,1,Synonym,Symphyotrichum shortii,(Lindl.) G.L.Nesom,Asteraceae,gcc, ,urn:lsid:compositae.org:names:7E7882FC-95AC-439F-A4BF-A43E23C22D8D
Aster species,Aster,,0.9,Accepted,Aster,,Asteraceae,tpl;usda, ,
Barbarea vulgaris,Barbarea vulgaris,,1,Accepted,Barbarea vulgaris,R.Br.,Brassicaceae,tpl, ,
Berberis thunbergii,Berberis thunbergii,,1,Accepted,Berberis thunbergii,DC.,Berberidaceae,tpl;usda;tropicos, ,
Bidens cernua,Bidens cernua,,1,Accepted,Bidens cernua,L.,Asteraceae,gcc;usda;tropicos, ,urn:lsid:compositae.org:names:610E2E9B-6131-49F5-B9E4-A18EC11CD44D
Bidens frondosa,Bidens frondosa,,1,Accepted,Bidens frondosa,L.,Asteraceae,gcc;usda;tropicos, ,urn:lsid:compositae.org:names:37AC0D09-DBDB-4FB1-AFF9-3D06035F0659
Bidens species,Bidens,,0.9,No opinion,,,,tpl, ,
Boehmeria cylindrica,Boehmeria cylindrica,,1,Accepted,Boehmeria cylindrica,(L.) Sw.,Urticaceae,tpl;usda;tropicos, ,
Brassicaceae family,Brassicaceae,,0.5,Accepted,Brassicaceae,,,tpl;usda, [Partial match] ,
Bromis inermis,Bromus inermis,,0.97,Accepted,Bromus inermis,Leyss.,Poaceae,tpl;usda;tropicos, ,
Bromus inermis,Bromus inermis,,1,Accepted,Bromus inermis,Leyss.,Poaceae,tpl;usda;tropicos, ,
Campanula americana,Campanula americana,,1,Accepted,Campanula americana,L.,Campanulaceae,tpl;tropicos, ,
Carex blanda,Carex blanda,,1,Accepted,Carex blanda,Dewey,Cyperaceae,tpl;usda;tropicos, ,
Carex gravida,Carex gravida,,1,Accepted,Carex gravida,L.H.Bailey,Cyperaceae,tpl, ,
Carex hirtifolia,Carex hirtifolia,,1,Accepted,Carex hirtifolia,Mack.,Cyperaceae,tpl;usda;tropicos, ,
Carex pensylvanica,Carex pensylvanica,,1,Accepted,Carex pensylvanica,Lam.,Cyperaceae,tpl;usda;tropicos, ,
Carex rosea,Carex rosea,,1,Accepted,Carex rosea,Willd.,Cyperaceae,tpl, ,
Carex sparganioides,Carex sparganioides,,1,Accepted,Carex sparganioides,Muhl. ex Willd.,Cyperaceae,tpl;usda;tropicos, ,
Carex species,Carex,,0.9,Accepted,Carex,,Cyperaceae,tpl, ,
Carex tribuloides,Carex tribuloides,,1,Accepted,Carex tribuloides,Wahlenb.,Cyperaceae,tpl;usda;tropicos, ,
Carex vulpinoidea,Carex vulpinoidea,,1,Accepted,Carex vulpinoidea,Michx.,Cyperaceae,tpl;usda;tropicos, ,
Carya cordiformis,Carya cordiformis,,1,Accepted,Carya cordiformis,(Wangenh.) K.Koch,Juglandaceae,tpl, ,
Carya ovata,Carya ovata,,1,Accepted,Carya ovata,(Mill.) K.Koch,Juglandaceae,tpl, ,
Carya species,Carya,,0.9,Accepted,Carya,,Juglandaceae,tpl;usda, ,
Caulophyllum thalictroides,Caulophyllum thalictroides,,1,Accepted,Caulophyllum thalictroides,(L.) Michx.,Berberidaceae,tpl;usda;tropicos, ,
Celastrus scandens,Celastrus scandens,,1,Accepted,Celastrus scandens,L.,Celastraceae,tpl;usda;tropicos, ,
Celtis occidentalis,Celtis occidentalis,,1,Accepted,Celtis occidentalis,L.,Cannabaceae,tpl;usda;tropicos, ,
